x	date
4	01/01/2021
2	02/01/2021
0	03/01/2021
6	04/01/2021
2	05/01/2021
8	06/01/2021
7	07/01/2021
3	08/01/2021
7	09/01/2021
7	10/01/2021
1	11/01/2021
2	12/01/2021
3	13/01/2021
0	14/01/2021
6	15/01/2021
6	16/01/2021
6	17/01/2021
7	18/01/2021
1	19/01/2021
5	20/01/2021
6	21/01/2021
0	22/01/2021
4	23/01/2021
3	24/01/2021
4	25/01/2021
8	26/01/2021
9	27/01/2021
5	28/01/2021
5	29/01/2021
9	30/01/2021
4	31/01/2021
2	01/02/2021
9	02/02/2021
7	03/02/2021
5	04/02/2021
5	05/02/2021
7	06/02/2021
2	07/02/2021
7	08/02/2021
2	09/02/2021
9	10/02/2021
0	11/02/2021
6	12/02/2021
8	13/02/2021
0	14/02/2021
0	15/02/2021
2	16/02/2021
5	17/02/2021
3	18/02/2021
1	19/02/2021
1	20/02/2021
0	21/02/2021
7	22/02/2021
4	23/02/2021
0	24/02/2021
3	25/02/2021
6	26/02/2021
4	27/02/2021
6	28/02/2021
1	01/03/2021
6	02/03/2021
3	03/03/2021
8	04/03/2021
7	05/03/2021
1	06/03/2021
3	07/03/2021
1	08/03/2021
9	09/03/2021
9	10/03/2021
6	11/03/2021
6	12/03/2021
7	13/03/2021
1	14/03/2021
2	15/03/2021
6	16/03/2021
4	17/03/2021
2	18/03/2021
3	19/03/2021
2	20/03/2021
3	21/03/2021
2	22/03/2021
8	23/03/2021
5	24/03/2021
6	25/03/2021
8	26/03/2021
1	27/03/2021
7	28/03/2021
0	29/03/2021
0	30/03/2021
4	31/03/2021
1	01/04/2021
7	02/04/2021
0	03/04/2021
4	04/04/2021
2	05/04/2021
2	06/04/2021
7	07/04/2021
9	08/04/2021
3	09/04/2021
