gender	status
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	clear
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
females	infected
