"density" "fate"
1 "not"
2 "not"
2 "not"
4 "not"
4 "not"
4 "not"
4 "paratised"
8 "not"
8 "not"
8 "not"
8 "not"
8 "not"
8 "not"
8 "paratised"
8 "paratised"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "not"
16 "paratised"
16 "paratised"
16 "paratised"
16 "paratised"
16 "paratised"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "not"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
32 "paratised"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "not"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
64 "paratised"
