"Growth.rate" "Water" "Detergent" "Daphnia" "pH"
2.919085587 "Tyne" "BrandA" "Clone1" 4.42613426664287
2.49290403 "Tyne" "BrandA" "Clone1" 6.4284746091423
3.021804251 "Tyne" "BrandA" "Clone1" 8.61596663476597
2.350874335 "Tyne" "BrandA" "Clone2" 8.38436417863105
3.148173559 "Tyne" "BrandA" "Clone2" 5.87806739240311
4.423852931 "Tyne" "BrandA" "Clone2" 6.44472706866256
4.870958803 "Tyne" "BrandA" "Clone3" 5.72622523557269
3.897731347 "Tyne" "BrandA" "Clone3" 6.08381447707906
5.830881925 "Tyne" "BrandA" "Clone3" 6.48582890370534
2.3027171 "Tyne" "BrandB" "Clone1" 6.09346510229867
3.195969626 "Tyne" "BrandB" "Clone1" 5.78564427245635
2.829021095 "Tyne" "BrandB" "Clone1" 4.93707622895179
3.027499621 "Tyne" "BrandB" "Clone2" 7.18554841547242
5.285108403 "Tyne" "BrandB" "Clone2" 5.75088380610488
4.260954913 "Tyne" "BrandB" "Clone2" 5.28807493059706
4.049527754 "Tyne" "BrandB" "Clone3" 5.45482267214085
4.623400317 "Tyne" "BrandB" "Clone3" 5.64661652379481
5.625844909 "Tyne" "BrandB" "Clone3" 4.69978082370726
2.634182102 "Tyne" "BrandC" "Clone1" 6.47765683502925
3.513746393 "Tyne" "BrandC" "Clone1" 6.42838760306652
3.714657446 "Tyne" "BrandC" "Clone1" 4.34849010004694
3.862106084 "Tyne" "BrandC" "Clone2" 7.25353324691497
3.955181039 "Tyne" "BrandC" "Clone2" 4.79237564262844
3.044307782 "Tyne" "BrandC" "Clone2" 5.31023624735013
3.358051334 "Tyne" "BrandC" "Clone3" 5.46564602347609
5.633479467 "Tyne" "BrandC" "Clone3" 5.16068920861877
4.613174755 "Tyne" "BrandC" "Clone3" 7.11946213085657
2.200592859 "Tyne" "BrandD" "Clone1" 6.56977399144059
2.233799598 "Tyne" "BrandD" "Clone1" 6.64119229226472
3.357183631 "Tyne" "BrandD" "Clone1" 5.24413662816531
3.111763697 "Tyne" "BrandD" "Clone2" 7.21680262875966
4.842597624 "Tyne" "BrandD" "Clone2" 6.23651235868529
4.36259229 "Tyne" "BrandD" "Clone2" 5.15331990494779
2.23021006 "Tyne" "BrandD" "Clone3" 5.80915779383326
3.104322517 "Tyne" "BrandD" "Clone3" 6.90697718673778
4.762764289 "Tyne" "BrandD" "Clone3" 5.40579274527894
2.319406055 "Wear" "BrandA" "Clone1" 4.48754189658029
2.098190677 "Wear" "BrandA" "Clone1" 6.14751942967164
3.541968991 "Wear" "BrandA" "Clone1" 6.08726482788409
3.888784107 "Wear" "BrandA" "Clone2" 8.72580945537893
3.960037772 "Wear" "BrandA" "Clone2" 8.04549649140364
5.742290286 "Wear" "BrandA" "Clone2" 4.46647241597504
5.244230091 "Wear" "BrandA" "Clone3" 6.65645468365085
4.795048308 "Wear" "BrandA" "Clone3" 5.36736531634827
5.380755443 "Wear" "BrandA" "Clone3" 4.94650645337315
3.610532158 "Wear" "BrandB" "Clone1" 4.48692644869322
2.24765071 "Wear" "BrandB" "Clone1" 7.1339618703967
3.388947185 "Wear" "BrandB" "Clone1" 6.13368359968217
4.061629942 "Wear" "BrandB" "Clone2" 8.03130874949553
5.478983004 "Wear" "BrandB" "Clone2" 6.4409011244895
4.303407161 "Wear" "BrandB" "Clone2" 4.46300659620279
3.973059861 "Wear" "BrandB" "Clone3" 5.47387601932186
4.632224111 "Wear" "BrandB" "Clone3" 4.88492498320664
5.284316226 "Wear" "BrandB" "Clone3" 7.33748215123173
2.480983544 "Wear" "BrandC" "Clone1" 6.32065761481932
3.950709949 "Wear" "BrandC" "Clone1" 9.1017035116303
2.133731304 "Wear" "BrandC" "Clone1" 5.97868644172073
5.586468488 "Wear" "BrandC" "Clone2" 7.04388507022415
6.918344272 "Wear" "BrandC" "Clone2" 7.82228575669462
5.270420973 "Wear" "BrandC" "Clone2" 4.59094887006198
2.015706722 "Wear" "BrandC" "Clone3" 7.03036116233082
3.467041808 "Wear" "BrandC" "Clone3" 5.10351995751101
5.028927385 "Wear" "BrandC" "Clone3" 4.90244564563358
2.3071735 "Wear" "BrandD" "Clone1" 5.61483532227687
2.96227354 "Wear" "BrandD" "Clone1" 6.9460050255587
2.69976154 "Wear" "BrandD" "Clone1" 4.08411988725985
6.569411852 "Wear" "BrandD" "Clone2" 4.05712432419599
6.405129788 "Wear" "BrandD" "Clone2" 7.64872103366304
5.990972601 "Wear" "BrandD" "Clone2" 7.01236497601736
2.553241161 "Wear" "BrandD" "Clone3" 6.24481602875453
2.592765531 "Wear" "BrandD" "Clone3" 6.12014348500809
1.761603478 "Wear" "BrandD" "Clone3" 7.02860520045519
