stems	diameter	x	y	type
NA	NA	27	34	seedling
NA	NA	29	34	seedling
NA	NA	20	56	seedling
NA	NA	20	61	seedling
NA	NA	78	66	seedling
NA	NA	25	68	seedling
NA	NA	89	82	seedling
NA	NA	97	96	seedling
NA	NA	253	31	seedling
NA	NA	259	50	seedling
NA	NA	531	35	seedling
NA	NA	533	37	seedling
NA	NA	536	37	seedling
NA	NA	532	40	seedling
NA	NA	529	41	seedling
NA	NA	520	44	seedling
NA	NA	526	44	seedling
NA	NA	529	45	seedling
NA	NA	517	49	seedling
NA	NA	516	60	seedling
NA	NA	578	67	seedling
NA	NA	688	26	rosette
NA	NA	738	25	seedling
NA	NA	739	26	seedling
NA	NA	793	31	rosette
NA	NA	765	97	seedling
NA	NA	831	2	seedling
NA	NA	833	8	seedling
NA	NA	811	12	seedling
NA	NA	826	36	seedling
NA	NA	826	66	seedling
NA	NA	933	24	seedling
NA	NA	939	25	seedling
NA	NA	932	28	seedling
NA	NA	941	49	seedling
NA	NA	940	53	seedling
NA	NA	923	88	seedling
NA	NA	915	90	seedling
NA	NA	1042	8	rosette
NA	NA	1099	12	rosette
3	10	1020	33	skeleton
NA	NA	1112	15	rosette
NA	NA	1100	11	seedling
NA	NA	1166	56	rosette
NA	NA	1105	83	seedling
NA	NA	1165	99	seedling
2	10	1231	0	skeleton
NA	NA	1280	77	seedling
1	8	1235	99	skeleton
1	5	1239	90	skeleton
5	15	1349	99	skeleton
NA	NA	1361	0	seedling
NA	NA	1412	8	rosette
NA	NA	1453	2	seedling
6	11	1426	54	skeleton
1	9	1431	99	skeleton
1	8	1638	93	skeleton
NA	NA	1622	31	seedling
3	11	1763	95	skeleton
2	10	1753	99	skeleton
1	7	1725	67	skeleton
2	14	1716	84	skeleton
NA	NA	1765	66	seedling
NA	NA	1782	54	rosette
NA	NA	1781	52	rosette
1	8	1868	91	skeleton
1	13	1897	41	skeleton
1	3	1858	50	skeleton
2	11	1897	60	skeleton
2	13	1896	74	skeleton
1	5	1848	77	skeleton
1	4	1862	81	skeleton
NA	NA	1825	3	rosette
NA	NA	1830	9	seedling
1	5	1870	92	skeleton
1	16	1990	33	skeleton
1	9	1955	68	skeleton
1	12	1955	70	skeleton
1	15	1953	70	skeleton
2	9	1908	83	skeleton
1	7	1985	94	skeleton
3	13	1992	99	skeleton
1	8	1951	68	skeleton
1	5	1999	53	skeleton
NA	NA	1914	92	seedling
NA	NA	1988	49	seedling
NA	NA	1996	55	seedling
5	16	2078	17	skeleton
6	10	2043	64	skeleton
3	14	2005	64	skeleton
5	9	2067	83	skeleton
3	12	2086	93	skeleton
1	7	2191	69	skeleton
NA	NA	2206	1	rosette
NA	NA	2254	63	rosette
NA	NA	2204	99	seedling
NA	NA	2335	35	seedling
NA	NA	2372	36	seedling
NA	NA	2375	36	seedling
NA	NA	2384	47	rosette
NA	NA	2367	43	seedling
1	9	2333	90	skeleton
1	17	2371	99	skeleton
NA	NA	2338	99	seedling
NA	NA	2343	98	seedling
NA	NA	2436	11	seedling
NA	NA	2444	21	rosette
NA	NA	2449	71	rosette
NA	NA	2537	6	rosette
NA	NA	2569	2	rosette
NA	NA	2513	16	seedling
1	8	2543	48	skeleton
1	8	2533	78	skeleton
1	13	2524	82	skeleton
1	6	2569	63	regrowth
1	6	2587	6	skeleton
1	10	2619	24	skeleton
NA	NA	2680	78	seedling
NA	NA	2681	67	seedling
NA	NA	2665	66	seedling
NA	NA	2682	66	seedling
NA	NA	2676	54	seedling
5	21	2717	52	regrowth
3	14	2789	12	skeleton
6	12	2796	32	regrowth
1	9	2799	36	skeleton
2	7	2724	69	skeleton
6	10	2731	72	skeleton
1	6	2753	92	skeleton
4	11	2748	99	skeleton
1	10	2716	89	skeleton
1	7	2751	86	skeleton
1	12	2799	99	skeleton
9	17	2858	62	regrowth
2	10	2800	38	skeleton
2	13	2810	67	skeleton
2	15	2956	13	skeleton
NA	NA	2921	98	rosette
NA	NA	2941	73	seedling
NA	NA	73	117	seedling
NA	NA	61	125	seedling
NA	NA	88	131	seedling
NA	NA	89	132	seedling
NA	NA	88	136	seedling
